tripId,source,estimated_usage_bins,city,zone,zone_demand_popularity,dayType,pickUpHourOfDay,sla,booking_type,tripOutcome
9356c58b-a836-4927-951d-f99e21c56f70,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
94562d26-c1ed-477c-9502-71591f715c3d,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
dc0591c2-c582-4e2b-b3d4-7e411dfd24b3,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
555ee0b5-b504-432d-a6a0-6a2b1b54ec84,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
6f02bbb3-4591-4b57-a6ff-12dd967f30d2,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
82978ac4-2b25-49cb-9a56-d31459bc8a9a,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
f6980386-f45a-4ae9-82ab-e6de86635a0a,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
190cbd36-e9af-42c0-8184-c0860e5a6a31,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
6eee76b4-7a41-4e82-bda3-6a025fcfa68a,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
97930da7-3a0f-4569-8321-06573c3d4e6c,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
4a5c5af9-0bed-44b8-9e9c-b7d473b640f1,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
d471cadf-17dd-4f24-b50c-63f83d7728e7,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
9a4cd86c-16b8-44e8-8fe3-78eaca5d8b09,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
a288d741-0bdb-4902-a7bf-6c1f96676e24,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
22d2aaf6-47aa-4751-92bb-9af758e919c9,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
af818cb4-2bf9-45ad-973e-f79a13f42010,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
c1bbb1fe-4efb-4996-b473-c756797ca67d,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
13a67698-7f59-46bc-b9dc-0f6236345819,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
df5147f2-ba04-45c2-aaaa-777b741cc480,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
04dde251-fc21-4837-a6fe-07182825f332,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
b22fb5cb-bf8d-425d-8a09-1117212f5379,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
d6bb14ff-8232-4dba-8df7-380a7a9ebb4e,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
cd28f2df-51dc-4387-a73a-79643143d24b,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
49b2daa4-f6b4-4960-a7ea-2ec135ade3c3,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
316f0c73-95c8-4e77-9d49-68e0b7b60a5f,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
9718d04f-9d88-4656-a99c-35e5c487e47c,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
8d19f0c6-d2f8-46df-b495-a406df865f3d,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
41f1cc70-8b40-40e3-a6f0-240ef1ec7ab1,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
6036ec7e-bea8-484f-b1c9-7c40880d2b45,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
54e4381b-2bda-48cd-8f06-044f31c70526,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
fdc2ffc0-9718-4269-b7dc-b6d2dbf3e752,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
67f84e51-e658-4526-b9c1-84fff22741ac,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
709ee781-1f63-473c-89c8-084ebdf5159d,ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,bad
